 tate State / Province,Location Name,Location City,Location State/Province,Location Country,Location GIS Coordinates,Location URL,Authorized Vocabulary,URL/Database value (if applicable),Comment
Location,Stiftung Kloster Eberbach,Eltville,,Germany,,,,,
Location,Szépművészeti Múzeum,Budapest,,Hungary,,,,,
Location,The Frick Collection,"New York, NY",,USA,,,,,
Location,The Walters Art Museum,"Baltimore, MD",,USA,,,,,
Location,Vanderbilt University Fine Arts Gallery,"Nashville, TN",,USA,,,,,
Location,Victoria and Albert Museum,London,,UK,,,,,
Location,Virginia Museum of Fine Art,"Richmond, VA",,USA,,,,,
Location,Yale University Art Gallery,New Haven,,USA,,,,,
Location,,Florence,,Italy,,,,,
Location,,Venice,,Italy,,,,,
